malestar,planta,remedio
Dolor estomacal,Manzanilla,La infusión se realiza con las flores secas y se pueden beber hasta tres tazas diarias.
Dolor estomacal,Limoncillo,Se prepara un té con algunas hojas de la planta y se bebe 2 tazas diarias.
Dolor estomacal,Epazote,Para ello se toma la infusión de las hojas con agua o leche en ayunas.
Dolor estomacal,Menta,"El té de menta se puede beber frío o caliente, con hojas fresas o secas y siempre endulzado con miel o incluso con unas gotas de jugo de limón."
Dolor estomacal,Tomillo,La infusión se realiza con las hojas secas o frescas y se aconseja beberla después de las comidas y hasta tres tazas al día.
Gripe,Hierba buena,Se prepara un té con algunas hojas de la planta y se bebe 2 tazas diarias.
Gripe,Romero,Para ello se toma la infusión de las hojas con agua.
Gripe,Manzanilla,Se prepara un té con algunas hojas de la planta y se bebe 2 tazas diarias.
Gripe,Nabo,Preparar sopa de esta planta
Gripe,Oregano,Preparar a manera de té 
dolor de cabeza,Achiote,Las hojas se aplicaban como cataplasma para aliviar el dolor
dolor de cabeza,Ruda,Para el dolor de cabeza se recomienda 'machacar' algunas hojas y colocarlas en las sienes.
Dolor de cabeza,Menta,Prepara una infusión con cuatro hojas de menta por cada taza de agua y bébela
Dolor de cabeza,Albahaca,"Prepara una infusión de albahaca añadiendo 1 cucharada de hierba seca a una taza de agua hirviendo, deja reposar un cuarto de hora, cuela el líquido y bebe lentamente a sorbos."
Dolor de cabeza,Laurel,Puedes aplicar una pasta de hojas de laurel en la parte frontal y hacer masajes para obtener alivio de la migraña intensa.
Dolor Muscular,Diente de león,Hacer un aceite con diente de león es facilísimo y una vez que lo tengas listo podrás usarlo para masajear la zona dolorida.
Dolor Muscular,Árnica,"La parte utilizada del árnica son sus flores que se pueden preparar en forma de infusión, tintura o pomada de aplicación externa y no debe ser ingerida."
Dolor Muscular,Romero,"Prepara una mezcla de 30 g de romero en un frasco de agua hirviendo, cubre y deja reposar durante 30 minutos."
Dolor Muscular,Sábila,La pulpa de la sábila brinda un efecto antiinflamatorio
Dolor Muscular,Pingüica,"Los frutos tienen forma de pequeñas manzanitas, las cuales se secan y se usan como un antiséptico y desinflamatorio. "
Dolor de articulaciones,Apio,"El apio puede comerse o beberse sin ningún problema; incluirlo en ensaladas, sopas, jugos o batidos. "
Dolor de articulaciones,Romero,"Prepara una mezcla de 30 g de romero en un frasco de agua hirviendo, cubre y deja reposar durante 30 minutos."
Dolor de articulaciones,Sauce Blanco,De 100 a 200 mg de extracto seco de corteza
Dolor de articulaciones,Ulmaria,Tomar en infusión o tintura tres veces al día.
Dolor de articulaciones,Laurel,"PreparaR una infusión de laurel. Se pone a hervir un litro de agua, cuando esté en ebullición se le agrega 10 gramos de hojas de laurel y se deja hervir 5 minutos más."
